"COUNTY,N,4,2","CORRIDOR,N,6,2",Corridor,"C_LABEL,C,75","SEG_FROM,C,75","SEG_TO,C,75"
1,1,1001001,US 41 / Tamiami Trail / SR 45,Manatee / Hillsborough Co Line,SR 674 / College Ave
1,1,1001002,US 41 / Tamiami Trail / SR 45,SR 674 / College Ave,Big Bend Rd / CR 672
1,2,1002001,US 41 / SR 45,Big Bend Rd / CR 672,Gibsonton Dr
1,2,1002002,US 41 / SR 45,Gibsonton Dr,Madison Ave / CR 676A
1,2,1002003,US 41 / 50th St / SR 45,Madison Ave / CR 676A,Causeway Blvd / 22nd St / SR 676
1,3,1003001,US 41 / Nebraska Ave / SR 45,Busch Blvd / SR 580,Fowler Ave / SR 582
1,3,1003002,US 41 / Nebraska Ave / SR 45,Fowler Ave / SR 582,Fletcher Ave / SR 582A
1,3,1003003,US 41 / Nebraska Ave / SR 45,Fletcher Ave / SR 582A,Bearss Ave
1,4,1004001,US 41 / Nebraska Ave / SR 45,Bearss Ave,Florida Ave
1,4,1004002,US 41 / SR 45,Florida Ave,Crenshaw Lake Rd
1,4,1004003,US 41 / SR 45,Crenshaw Lake Rd,Debuel Rd
1,4,1004004,US 41 / SR 45,Debuel Rd,Sunset Ln / Co Hwy 583A
1,4,1004005,US 41 / SR 45,Sunset Ln / Co Hwy 583A,W Lutz Lake Fern Rd
1,4,1004006,US 41 / SR 45,W Lutz Lake Fern Rd,Hillsborough / Pasco Co Line
3,5,3005001,US 41 / SR 45,SR 54,Ehren Cutoff / CR 583
3,5,3005002,US 41 / SR 45,Ehren Cutoff / CR 583,SR 52
3,6,3006001,US 41 / SR 45,SR 52,Pasco / Hernando Co Line
4,7,4007001,US 41 / S Broad St / SR 45,Pasco / Hernando Co Line,Ayers Rd /  CR 576
4,7,4007002,US 41 / S Broad St / SR 45,Ayers Rd /  CR 576,Spring Hill Dr / CR 574
4,7,4007003,US 41 / S Broad St / SR 45,Spring Hill Dr / CR 574,SR 50 / Cortez Blvd
4,8,4008001,US 41 / S Broad St / SR 45,SR 50 / Cortez Blvd,US 98 / Ponce De Leon Blvd
4,8,4008002,US 41 / Broad St / Jefferson St,US 98 / Ponce De Leon Blvd,SR 50A / E Jefferson St / US 98
4,8,4008003,US 41 / N Broad St / SR 45,SR 50A / E Jefferson St / US 98,Howell Ave @ Yontz Rd / CR 485B
4,8,4008004,US 41 / N Broad St / SR 45,Howell Ave @ Yontz Rd / CR 485B,Snow Memorial Hwy / CR 581
4,8,4008005,US 41 / N Broad St / SR 45,Snow Memorial Hwy / CR 581,Hernando / Citrus Co Line
5,9,5009001,US 41,Hernando / Citrus Co Line,CR 48 / Orange Ave
5,9,5009002,US 41,CR 48 / Orange Ave,SR 44 / Gulf to Lake Hwy
5,9,5009003,US 41 / SR 44 / Gulf to Lake Hwy,SR 44 / Gulf to Lake Hwy,SR 44 @ Talmage Ave
5,9,5009004,US 41,SR 44 @ Talmage Ave,E Norvell Bryant Hwy / SR 486
5,9,5009005,US 41,E Norvell Bryant Hwy / SR 486,N Lecanto Hwy
5,9,5009006,US 41,N Lecanto Hwy,Citrus / Marion Co Line
1,10,1010001,I-4,I-275,21th St Exit
1,10,1010002,I-4,21th St Exit,40th St Exit
1,10,1010003,I-4,40th St Exit,50th St Exit
1,10,1010004,I-4,50th St Exit,E Martin Luther King Jr Blvd / SR 574 Exit
1,10,1010005,I-4,E Martin Luther King Jr Blvd / SR 574 Exit,US 301 Exit
1,10,1010006,I-4,US 301 Exit,I-75 Exit
1,11,1011001,I-4,I-75 Exit,Mango Rd Exit
1,11,1011002,I-4,Mango Rd Exit,McIntosh Rd Exit
1,11,1011003,I-4,McIntosh Rd Exit,Branch Forbes Rd Exit
1,11,1011004,I-4,Branch Forbes Rd Exit,Thonotosassa Rd Exit
1,11,1011005,I-4,Thonotosassa Rd Exit,Alexander St Exit
1,11,1011006,I-4,Alexander St Exit,SR 39 Exit / Wheeler St
1,11,1011007,I-4,SR 39 Exit / Wheeler St,Park Rd Exit
1,11,1011008,I-4,Park Rd Exit,Hillsborough / Polk Co Line
2,12,2012001,Gulf to Bay Blvd / SR 60 / Courtney Campbel,Memorial Causeway,N Ft. Harrison
2,12,2012002,Gulf to Bay Blvd / SR 60 / Courtney Campbel,N Ft. Harrison,S MLK Jr Ave
2,12,2012003,Gulf to Bay Blvd / SR 60 / Courtney Campbel,S MLK Jr Ave,Highland Ave
2,12,2012004,Gulf to Bay Blvd / SR 60 / Courtney Campbel,Highland Ave,Keene Road
2,12,2012005,Gulf to Bay Blvd / SR 60 / Courtney Campbel,Keene Road,Belcher Road
2,12,2012006,Gulf to Bay Blvd / SR 60 / Courtney Campbel,Belcher Road,US 19
2,12,2012007,Gulf to Bay Blvd / SR 60 / Courtney Campbel,US 19,McMullen-Booth Rd
2,12,2012008,Gulf to Bay Blvd / SR 60 / Courtney Campbel,McMullen-Booth Rd,Hillsborough/Pinellas CL
